	220		261		190
1324	0.04521593079	--	--	1324	-0.001126338029
1323	0.04672469944	--	--	1323	-0.001126028248
1322	0.04822848737	--	--	1322	-0.001107954537
1321	0.04985043034	--	--	1321	-0.001094321371
1320	0.05131297931	--	--	1320	-0.001111724298
1319	0.05307153612	--	--	1319	-0.001084560994
1318	0.05471017212	--	--	1318	-0.001081772265
1317	0.05645638704	--	--	1317	-0.001104442985
1316	0.05828480795	--	--	1316	-0.001068448182
1315	0.06017908454	--	--	1315	-0.001056982903
1314	0.06203349307	--	--	1314	-0.001098917448
1313	0.0640123114	--	--	1313	-0.00108275353
1312	0.06601248682	--	--	1312	-0.00111048494
1311	0.06797072291	--	--	1311	-0.001067621866
1310	0.07007128745	--	--	1310	-0.001149006421
1309	0.07233387977	--	--	1309	-0.001104907831
1308	0.07453636825	--	--	1308	-0.001093908213
1307	0.07683939487	--	--	1307	-0.001102377428
1306	0.07915528864	--	--	1306	-0.001107541495
1305	0.0815968141	--	--	1305	-0.001076556277
1304	0.08408416063	--	--	1304	-0.001035704161
1303	0.08665892482	--	--	1303	-0.001110175042
1302	0.08943356574	--	--	1302	-0.001120193047
1301	0.09202171117	--	--	1301	-0.001095560845
1300	0.09484478831	--	--	1300	-0.001073044492
1299	0.09765195101	--	--	1299	-0.001003629179
1298	0.1004104987	--	--	1298	-9.782154812E-4
1297	0.1034917906	--	--	1297	-9.278484504E-4
1296	0.1065120995	--	--	1296	-9.252137388E-4
1295	0.109610863	--	--	1295	-0.001058325637
1294	0.112676993	--	--	1294	-0.001096541993
1293	0.1159726679	--	--	1293	-0.001113066915
1292	0.1192778721	--	--	1292	-0.001097264932
1291	0.1226794273	--	--	1291	-0.001115080784
1290	0.1263542771	--	--	1290	-0.001130985445
1289	0.130070895	--	--	1289	-0.001074180705
1288	0.1337855309	--	--	1288	-0.001026820508
1287	0.1375549138	--	--	1287	-9.440698777E-4
1286	0.1414416134	--	--	1286	-8.077706443E-4
1285	0.1452936679	--	--	1285	-9.730499005E-4
1284	0.1492278576	--	--	1284	-9.024302708E-4
1283	0.1533286273	--	--	1283	-8.659536252E-4
1282	0.1572949439	--	--	1282	-8.667286602E-4
1281	0.1616259664	--	--	1281	-8.786123362E-4
1280	0.1658236533	--	--	1280	-8.516928065E-4
1279	0.1702498347	--	--	1279	-8.62801855E-4
1278	0.1749341339	--	--	1278	-8.757189498E-4
1277	0.1797063202	--	--	1277	-8.131448994E-4
1276	0.18452923	--	--	1276	-7.69994047E-4
1275	0.1892377287	--	--	1275	-7.359871524E-4
1274	0.1939536184	--	--	1274	-7.419307949E-4
1273	0.1987100244	--	--	1273	-7.116948254E-4
1272	0.2034951448	--	--	1272	-7.127285935E-4
1271	0.2085581124	--	--	1271	-6.820253911E-4
1270	0.2137102932	--	--	1270	-6.650705473E-4
1269	0.2190425098	--	--	1269	-6.816635723E-4
1268	0.2243824899	--	--	1268	-6.310553872E-4
1267	0.2299385965	--	--	1267	-5.967790494E-4
1266	0.2352139652	--	--	1266	-5.759431515E-4
1265	0.2407907844	--	--	1265	-5.633790279E-4
1264	0.2462711185	--	--	1264	-5.363883101E-4
1263	0.2515845001	--	--	1263	-5.09912963E-4
1262	0.2573760152	--	--	1262	-5.126536707E-4
1261	0.2630888224	--	--	1261	-4.585607385E-4
1260	0.2690230608	--	--	1260	-4.3363226E-4
1259	0.2750833929	--	--	1259	-3.96650692E-4
1258	0.2810909152	--	--	1258	-4.033231235E-4
1257	0.2870002389	--	--	1257	-4.044093366E-4
1256	0.2927394211	--	--	1256	-3.526307701E-4
1255	0.2987142503	--	--	1255	-3.222642408E-4
1254	0.3047471642	--	--	1254	-2.556780819E-4
1253	0.3109985888	--	--	1253	-2.452779445E-4
1252	0.3174361289	--	--	1252	-1.814227435E-4
1251	0.3238914609	--	--	1251	-1.800772297E-4
1250	0.3299455047	--	--	1250	-1.429187978E-4
1249	0.3360118568	--	--	1249	-4.534984691E-5
1248	0.3421938419	--	--	1248	1.480702667E-5
1247	0.3483405411	--	--	1247	3.896013004E-5
1246	0.3548484147	--	--	1246	1.468759292E-4
1245	0.3617444336	--	--	1245	1.339287555E-4
1244	0.3680180013	--	--	1244	1.952240709E-4
1243	0.3741406798	--	--	1243	2.524097508E-4
1242	0.380266726	--	--	1242	3.83048231E-4
1241	0.3864293098	--	--	1241	4.804762721E-4
1240	0.3927399814	--	--	1240	5.283172941E-4
1239	0.3991880417	--	--	1239	5.833436153E-4
1238	0.4055972695	--	--	1238	6.479170406E-4
1237	0.4114504755	--	--	1237	7.349287625E-4
1236	0.4176728129	--	--	1236	8.149814676E-4
1235	0.42369771	--	--	1235	9.171238635E-4
1234	0.4298330545	--	--	1234	0.001012699911
1233	0.436103344	--	--	1233	0.001094464678
1232	0.4422514141	--	--	1232	0.00119524519
1231	0.4479364753	--	--	1231	0.001268113498
1230	0.4538638294	--	--	1230	0.00140612165
1229	0.4598764181	--	--	1229	0.001524820458
1228	0.4656500518	--	--	1228	0.001592547749
1227	0.4714011848	--	--	1227	0.00160953973
1226	0.4769192338	--	--	1226	0.001700512483
1225	0.4826604724	--	--	1225	0.001802135608
1224	0.4881184101	--	--	1224	0.001896346686
1223	0.4935400784	--	--	1223	0.001989173936
1222	0.4987374246	--	--	1222	0.002047038404
1221	0.5037139654	--	--	1221	0.002133498667
1220	0.5088057518	--	--	1220	0.002267306438
1219	0.5136222243	--	--	1219	0.002373799216
1218	0.5183348656	--	--	1218	0.0024244003
1217	0.5234410167	--	--	1217	0.002502005314
1216	0.5280897617	--	--	1216	0.00262579578
1215	0.5318655968	--	--	1215	0.002706432249
1214	0.536070466	--	--	1214	0.002802819712
1213	0.5400681496	--	--	1213	0.002895840909
1212	0.5444146991	--	--	1212	0.002974312287
1211	0.5481852889	--	--	1211	0.003049825784
1210	0.5523112416	--	--	1210	0.003118860302
1209	0.5560026765	--	--	1209	0.00316845323
1208	0.5596005321	--	--	1208	0.003275532508
1207	0.5633291006	--	--	1207	0.003424981609
1206	0.5666288733	--	--	1206	0.003538283054
1205	0.5702376962	--	--	1205	0.003651144449
1204	0.5735202432	--	--	1204	0.003743329085
1203	0.5765172243	--	--	1203	0.003734216793
1202	0.5796040893	--	--	1202	0.003691321006
1201	0.5823020339	--	--	1201	0.003658479778
1200	0.5849850774	1200	-0.02360262908	1200	0.00366552826
1199	0.5870913267	1199	-0.02401005104	1199	0.003766907146
1198	0.588942647	1198	-0.02255224064	1198	0.003906051395
1197	0.5904228091	1197	-0.02114431001	1197	0.004116524011
1196	0.5921090841	1196	-0.01902862266	1196	0.004333791323
1195	0.5931732059	1195	-0.01753914915	1195	0.004573769402
1194	0.5943110585	1194	-0.01672332734	1194	0.004872803111
1193	0.5959197283	1193	-0.01541752554	1193	0.005211233627
1192	0.5978394151	1192	-0.01423832122	1192	0.005522766616
1191	0.60121876	1191	-0.01202227175	1191	0.005817627069
1190	0.6031230092	1190	-0.009308962151	1190	0.006107542664
1189	0.6038025618	1189	-0.006555237807	1189	0.006382835563
1188	0.6049826741	1188	-0.004795874469	1188	0.006619743537
1187	0.6067188382	1187	-0.003819301957	1187	0.006866458338
1186	0.6078274846	1186	-0.004301788285	1186	0.007091105916
1185	0.6089628935	1185	-0.004594905768	1185	0.007248901762
1184	0.6096548438	1184	-0.00561548071	1184	0.007462370209
1183	0.6106953621	1183	-0.006202046759	1183	0.007609842811
1182	0.6110090613	1182	-0.006828033831	1182	0.007779027801
1181	0.6095631719	1181	-0.007186521776	1181	0.007920913398
1180	0.6088594198	1180	-0.007079317234	1180	0.008136189543
1179	0.6078283787	1179	-0.007185146678	1179	0.008315659128
1178	0.6070332527	1178	-0.007015796844	1178	0.008512150496
1177	0.6056221128	1177	-0.00726966979	1177	0.008766387589
1176	0.6045930982	1176	-0.007124035619	1176	0.009017365053
1175	0.6038812995	1175	-0.007099690381	1175	0.009269333445
1174	0.6036691666	1174	-0.007662079297	1174	0.009616686963
1173	0.6031406522	1173	-0.008403487504	1173	0.009857908823
1172	0.6021171212	1172	-0.01023065578	1172	0.01008784492
1171	0.6012207866	1171	-0.0121133104	1171	0.01034398749
1170	0.6001463532	1170	-0.0138041703	1170	0.01070095785
1169	0.5984649658	1169	-0.0149813015	1169	0.01103822701
1168	0.5968927145	1168	-0.01452240814	1168	0.01128284261
1167	0.5949739218	1167	-0.01277955621	1167	0.01157709584
1166	0.593274951	1166	-0.01095684245	1166	0.01187378261
1165	0.5915458202	1165	-0.009996317327	1165	0.01220719889
1164	0.5898053646	1164	-0.009387803264	1164	0.01256751642
1163	0.5879657269	1163	-0.01000916865	1163	0.01302401535
1162	0.5861339569	1162	-0.01251862291	1162	0.01339849364
1161	0.5841554403	1161	-0.0159002319	1161	0.01388852671
1160	0.5820965171	1160	-0.01940288022	1160	0.0143520087
1159	0.5797103047	1159	-0.0229383558	1159	0.01475832425
1158	0.5774524808	1158	-0.02558907866	1158	0.01530705951
1157	0.5753766894	1157	-0.02955190465	1157	0.01581530645
1156	0.5727393031	1156	-0.03303765878	1156	0.01642992347
1155	0.5701381564	1155	-0.03363833204	1155	0.01686972752
1154	0.5675995946	1154	-0.03651284426	1154	0.01737697795
1153	0.5648378134	1153	-0.0385855101	1153	0.01772435382
1152	0.5623972416	1152	-0.04224731401	1152	0.01819648594
1151	0.5597631931	1151	-0.04107408598	1151	0.01857553422
1150	0.557023108	1150	-0.03817205131	1150	0.01907052658
1149	0.5544566512	1149	-0.03116780892	1149	0.01908472739
1148	0.5518670082	1148	-0.02164990455	1148	0.01946823299
1147	0.5493721366	1147	-0.01671446115	1147	0.01982994005
1146	0.5467832685	1146	-0.01774276607	1146	0.02039529942
1145	0.5436345339	1145	-0.02268036269	1145	0.02114725113
1144	0.5406873822	1144	-0.02640903741	1144	0.02176263556
1143	0.5373936892	1143	-0.02295907959	1143	0.02251047269
1142	0.5342331529	1142	-0.01372863445	1142	0.02277748659
1141	0.5313901901	1141	-0.001726265065	1141	0.02317371592
1140	0.5282257199	1140	0.008540450595	1140	0.02364019491
1139	0.5253076553	1139	0.01426615845	1139	0.02400575206
1138	0.522339344	1138	0.01784611493	1138	0.02468989044
1137	0.5190888047	1137	0.01927676238	1137	0.02537719347
1136	0.515948534	1136	0.01852169074	1136	0.0262847133
1135	0.5128238201	1135	0.01713531464	1135	0.02736715414
1134	0.5097376704	1134	0.01733632386	1134	0.02823909372
1133	0.5065401196	1133	0.0152574284	1133	0.02918855473
1132	0.5034961104	1132	0.01253079902	1132	0.03031262755
1131	0.500305593	1131	0.007367970888	1131	0.03145414591
1130	0.4970701337	1130	0.003620707663	1130	0.03279237077
1129	0.4939133525	1129	4.766409402E-4	1129	0.03407651559
1128	0.4908771813	1128	6.095243734E-4	1128	0.03524297476
1127	0.4875524938	1127	-7.811682735E-5	1127	0.03631031886
1126	0.4845308363	1126	-0.001373664476	1126	0.03733625263
1125	0.4814774394	1125	-0.002172911074	1125	0.03858582675
1124	0.4783545732	1124	-0.004524616525	1124	0.03972643614
1123	0.4752704799	1123	-0.005757126026	1123	0.04099492356
1122	0.4721179307	1122	-0.006727775093	1122	0.04226603732
1121	0.4691984951	1121	-0.00707834959	1121	0.04345945269
1120	0.4659714699	1120	-0.007583432365	1120	0.04471078515
1119	0.4632039666	1119	-0.007969154045	1119	0.04596288502
1118	0.4601682723	1118	-0.008103173226	1118	0.04727589339
1117	0.4571263194	1117	-0.008770926856	1117	0.04854887724
1116	0.4540992379	1116	-0.009010794573	1116	0.04993487149
1115	0.4510615766	1115	-0.009292188101	1115	0.05133856088
